lapTime,angle,trackPos,speed,track,steer,accel,brake
0.0119998,-0.020001,-0.439176,120.817,"[10.796, 11.1172, 13.8605, 18.2994, 29.9209, 38.8148, 55.8371, 100.819, 200.0, 200.0, 200.0, 62.5781, 27.3274, 17.5661, 13.0158, 7.55041, 5.58563, 4.3789, 4.20702]",0.13693690096386307,0.7500000000000001,0
0.0719998,-0.0467802,-0.434889,121.105,"[10.7735, 11.0153, 13.5322, 17.6059, 27.9097, 35.4345, 49.0257, 80.5239, 167.655, 200.0, 200.0, 104.714, 33.2665, 19.8641, 14.2368, 7.92741, 5.76528, 4.44845, 4.24297]",0.11200523966438422,0.8000000000000002,0
0.132,-0.0617596,-0.424745,121.515,"[10.706, 10.903, 13.2863, 17.1507, 26.7564, 33.6085, 45.6454, 71.9689, 135.038, 173.129, 200.0, 169.166, 38.3386, 21.7123, 15.2254, 8.26636, 5.95165, 4.55054, 4.32266]",0.02504959862346018,0.8500000000000002,0
0.192,-0.0615053,-0.411197,121.991,"[10.604, 10.7999, 13.1624, 16.993, 26.5174, 33.3142, 45.2592, 71.4055, 134.184, 172.191, 200.0, 171.44, 39.1536, 22.1958, 15.5705, 8.45752, 6.09034, 4.65731, 4.42439]",-0.02668891246755145,0.9000000000000002,0
0.252,-0.0546438,-0.396746,122.454,"[10.4913, 10.7045, 13.0944, 16.9656, 26.6668, 33.6632, 46.1123, 74.0668, 145.424, 191.802, 200.0, 138.713, 37.8288, 21.9976, 15.5913, 8.56925, 6.19956, 4.76078, 4.53117]",-0.0312986504269861,0.9500000000000003,0
0.312,-0.0490759,-0.382629,123.04,"[10.3822, 10.6088, 13.0166, 16.9144, 26.7463, 33.8999, 46.7631, 76.2926, 155.982, 200.0, 200.0, 121.271, 37.0043, 21.9317, 15.6688, 8.69208, 6.31182, 4.86341, 4.63587]",-0.015238217586486719,1.0,0
0.372,-0.0466909,-0.369062,123.646,"[10.2792, 10.5102, 12.9123, 16.8001, 26.635, 33.8184, 46.7951, 76.8807, 160.186, 200.0, 200.0, 116.655, 37.1157, 22.1689, 15.8906, 8.84958, 6.43632, 4.96649, 4.7372]",-0.0031618414336606337,1.0,0
0.432,-0.0461449,-0.355915,124.211,"[10.1802, 10.4105, 12.7936, 16.6506, 26.4137, 33.5512, 46.4586, 76.4522, 160.008, 200.0, 200.0, 117.505, 37.7289, 22.5745, 16.1934, 9.0262, 6.56713, 5.06909, 4.83579]",-0.0009969506481777302,1.0,0
0.492,-0.0455953,-0.343046,124.724,"[10.0833, 10.3129, 12.6775, 16.5043, 26.1976, 33.2903, 46.1307, 76.038, 159.869, 200.0, 200.0, 118.273, 38.3195, 22.9679, 16.4879, 9.19856, 6.69495, 5.16947, 4.93228]",-0.004517778669614364,1.0,0
0.552,-0.0440986,-0.330463,125.238,"[9.98818, 10.2197, 12.5731, 16.3815, 26.0457, 33.1346, 46.0062, 76.1788, 162.217, 200.0, 200.0, 116.362, 38.6079, 23.2494, 16.7238, 9.3527, 6.81381, 5.26599, 5.02641]",-0.007915947535148321,1.0,0
0.612,-0.0419199,-0.318242,125.848,"[9.89551, 10.1307, 12.4785, 16.2772, 25.9428, 33.0584, 46.0352, 76.7447, 166.618, 200.0, 200.0, 112.796, 38.6704, 23.4429, 16.9121, 9.49094, 6.92436, 5.35843, 5.11768]",-0.008185003468635876,1.0,0
0.672,-0.0400994,-0.306456,126.356,"[9.8063, 10.0443, 12.3843, 16.1702, 25.825, 32.9543, 46.0045, 77.1396, 170.345, 200.0, 200.0, 110.321, 38.8094, 23.6556, 17.1063, 9.62763, 7.03239, 5.44797, 5.20577]",-0.006138385978350092,1.0,0
0.732,-0.0387904,-0.295073,126.911,"[9.72036, 9.95969, 12.2888, 16.057, 25.682, 32.8051, 45.8792, 77.2574, 172.787, 200.0, 200.0, 109.106, 39.0683, 23.905, 17.316, 9.76573, 7.13931, 5.53513, 5.29093]",-0.005057954500374551,1.0,0
0.792,-0.0377387,-0.284034,127.452,"[9.63711, 9.87715, 12.194, 15.9422, 25.5288, 32.6362, 45.7101, 77.2399, 174.575, 200.0, 200.0, 108.463, 39.3769, 24.1673, 17.5297, 9.9025, 7.24421, 5.61999, 5.37357]",-0.005444478090229021,1.0,0
0.852,-0.0363257,-0.273332,128.008,"[9.55629, 9.79799, 12.1057, 15.8388, 25.4042, 32.513, 45.6283, 77.4672, 177.664, 200.0, 200.0, 107.034, 39.5594, 24.3774, 17.714, 10.0286, 7.3431, 5.70151, 5.45361]",-0.006512413017234306,1.0,0
0.912,-0.0344984,-0.262987,128.56,"[9.47804, 9.72248, 12.0245, 15.7483, 25.3118, 32.4418, 45.6474, 77.9851, 182.413, 200.0, 200.0, 104.801, 39.6024, 24.5291, 17.8652, 10.1427, 7.43539, 5.77944, 5.53089]",-0.006295494325457646,1.0,0
0.972,-0.0330241,-0.253017,129.077,"[9.40276, 9.64904, 11.9434, 15.6546, 25.2041, 32.3419, 45.6041, 78.3132, 186.254, 200.0, 200.0, 103.335, 39.7227, 24.7034, 18.0252, 10.2567, 7.52599, 5.85499, 5.60543]",-0.004617017775221582,1.0,0
1.032,-0.031981,-0.2434,129.688,"[9.33027, 9.57731, 11.8614, 15.5561, 25.0758, 32.2044, 45.4794, 78.3886, 188.721, 200.0, 200.0, 102.692, 39.9417, 24.9099, 18.1993, 10.3721, 7.61576, 5.9285, 5.6774]",-0.003912175123214304,1.0,0
1.092,-0.0310765,-0.234077,130.248,"[9.26005, 9.50751, 11.7808, 15.4581, 24.9441, 32.0587, 45.3341, 78.3926, 190.794, 200.0, 200.0, 102.286, 40.1807, 25.1198, 18.3729, 10.4854, 7.70337, 5.99991, 5.7472]",-0.004438684700431406,1.0,0
1.152,-0.0300388,-0.225032,130.803,"[9.19189, 9.44014, 11.7041, 15.3662, 24.8258, 31.9337, 45.2269, 78.5033, 193.531, 200.0, 200.0, 101.619, 40.3652, 25.3046, 18.5315, 10.5925, 7.78713, 6.06887, 5.81488]",-0.005288771779899185,1.0,0
1.212,-0.0287654,-0.216293,131.341,"[9.12598, 9.37562, 11.6323, 15.2826, 24.7277, 31.8409, 45.1816, 78.7947, 197.44, 200.0, 200.0, 100.531, 40.4663, 25.4527, 18.6685, 10.6912, 7.86601, 6.13496, 5.88023]",-0.005603670090970209,1.0,0
1.272,-0.027413,-0.207872,131.866,"[9.06245, 9.31371, 11.5641, 15.2045, 24.6405, 31.7641, 45.1651, 79.1678, 200.0, 200.0, 200.0, 99.3177, 40.5278, 25.5804, 18.7925, 10.7839, 7.94099, 6.19838, 5.94319]",-0.005045912000306088,1.0,0
1.332,-0.0261024,-0.199764,132.398,"[9.0013, 9.25409, 11.4985, 15.1292, 24.5565, 31.6905, 45.151, 79.5416, 200.0, 200.0, 200.0, 98.187, 40.5837, 25.7012, 18.9105, 10.8727, 8.01296, 6.25939, 6.00381]",-0.0041094890995567734,1.0,0
1.392,-0.0250156,-0.191961,133.007,"[8.94251, 9.19631, 11.4336, 15.0529, 24.4644, 31.6004, 45.0984, 79.7859, 200.0, 200.0, 200.0, 97.4156, 40.6838, 25.8349, 19.0331, 10.9608, 8.08333, 6.3184, 6.06219]",-0.003180919731232315,1.0,0
1.452,-0.0241234,-0.184439,133.497,"[8.88587, 9.14024, 11.3695, 14.976, 24.3653, 31.4962, 45.0123, 79.9147, 200.0, 200.0, 200.0, 96.9351, 40.8208, 25.9794, 19.1594, 11.048, 8.15217, 6.37555, 6.11849]",-0.0028427278881870965,1.0,0
1.512,-0.0234421,-0.177161,134.125,"[8.83114, 9.08559, 11.3058, 14.8978, 24.2579, 31.3754, 44.8877, 79.9105, 200.0, 200.0, 200.0, 96.7574, 41.0007, 26.1377, 19.2913, 11.1351, 8.21998, 6.43115, 6.17299]",-0.003011567083655506,1.0,0
1.572,-0.0226065,-0.170117,134.678,"[8.77812, 9.03306, 11.2457, 14.8255, 24.1644, 31.2768, 44.8058, 80.0339, 200.0, 200.0, 200.0, 96.3264, 41.126, 26.2711, 19.4084, 11.2164, 8.28426, 6.48462, 6.22571]",-0.003754121829085466,1.0,0
1.632,-0.0216526,-0.16332,135.215,"[8.72695, 8.98268, 11.1889, 14.7585, 24.083, 31.197, 44.7593, 80.263, 200.0, 200.0, 200.0, 95.7055, 41.2062, 26.3831, 19.5124, 11.2921, 8.34512, 6.53591, 6.27657]",-0.003911924420133897,1.0,0
1.692,-0.020762,-0.156773,135.756,"[8.67767, 8.93408, 11.1339, 14.6933, 24.0024, 31.1165, 44.7077, 80.4668, 200.0, 200.0, 200.0, 95.1645, 41.2899, 26.4932, 19.6137, 11.3653, 8.40386, 6.58535, 6.32556]",-0.00359436641582693,1.0,0
1.752,-0.0199268,-0.150465,136.342,"[8.6302, 8.88718, 11.0806, 14.6299, 23.9231, 31.0361, 44.6525, 80.6491, 200.0, 200.0, 200.0, 94.689, 41.3759, 26.601, 19.7121, 11.4361, 8.46055, 6.63301, 6.37278]",-0.003378298569474261,1.0,0
1.812,-0.0190497,-0.14438,136.85,"[8.5844, 8.84209, 11.0298, 14.57, 23.8507, 30.9658, 44.615, 80.8818, 200.0, 200.0, 200.0, 94.143, 41.4391, 26.6967, 19.8025, 11.503, 8.51464, 6.67883, 6.41832]",-0.0032429744000674263,1.0,0
1.872,-0.0181912,-0.138517,137.459,"[8.54029, 8.79867, 10.9809, 14.5125, 23.7814, 30.8992, 44.5817, 81.12, 200.0, 200.0, 200.0, 93.6118, 41.4958, 26.7867, 19.8883, 11.567, 8.56656, 6.72292, 6.46219]",-0.002885078388349574,1.0,0
1.932,-0.0175759,-0.132868,137.963,"[8.49782, 8.75635, 10.9319, 14.4527, 23.7013, 30.8118, 44.5008, 81.1894, 200.0, 200.0, 200.0, 93.3951, 41.6055, 26.8958, 19.9829, 11.6323, 8.61813, 6.76582, 6.5045]",-0.0024975880154619184,1.0,0
1.992,-0.0169124,-0.127417,138.562,"[8.45683, 8.71566, 10.8851, 14.3963, 23.6281, 30.7346, 44.4383, 81.3115, 200.0, 200.0, 200.0, 93.0974, 41.6922, 26.993, 20.0699, 11.6939, 8.66731, 6.80705, 6.54531]",-0.002798627285773174,1.0,0
2.052,-0.0163226,-0.122159,139.153,"[8.41731, 8.67629, 10.8395, 14.3408, 23.5542, 30.6545, 44.3661, 81.3915, 200.0, 200.0, 200.0, 92.8809, 41.7884, 27.0918, 20.1563, 11.7541, 8.71507, 6.84692, 6.58469]",-0.0028670411909438587,1.0,0
2.112,-0.0157179,-0.117079,139.667,"[8.37913, 8.63833, 10.7958, 14.2878, 23.4847, 30.5805, 44.3039, 81.4971, 200.0, 200.0, 200.0, 92.6302, 41.8715, 27.1829, 20.2376, 11.8115, 8.76091, 6.88535, 6.62272]",-0.003092849482231985,1.0,0
2.172,-0.0149857,-0.112182,140.256,"[8.3423, 8.60204, 10.7549, 14.2396, 23.4266, 30.5249, 44.278, 81.7187, 200.0, 200.0, 200.0, 92.2021, 41.9122, 27.2543, 20.3069, 11.8642, 8.80392, 6.9221, 6.65938]",-0.003200029600478743,1.0,0
2.232,-0.0142482,-0.107475,140.854,"[8.3069, 8.56723, 10.7158, 14.1938, 23.3727, 30.4748, 44.2608, 81.962, 200.0, 200.0, 200.0, 91.7564, 41.9422, 27.3188, 20.3713, 11.9142, 8.84496, 6.95734, 6.69462]",-0.0028281646138411734,1.0,0
2.292,-0.0136659,-0.10295,141.416,"[8.2729, 8.53348, 10.6771, 14.1472, 23.3129, 30.4128, 44.2147, 82.0964, 200.0, 200.0, 200.0, 91.4933, 42.0035, 27.3942, 20.4404, 11.9643, 8.88533, 6.99146, 6.72851]",-0.002363429203235873,1.0,0
2.352,-0.0131837,-0.0985907,141.938,"[8.24015, 8.5008, 10.639, 14.1007, 23.2504, 30.3444, 44.1518, 82.1631, 200.0, 200.0, 200.0, 91.3405, 42.0826, 27.475, 20.5113, 12.0139, 8.9248, 7.02448, 6.76116]",-0.002319910735987786,1.0,0
2.412,-0.0126214,-0.0943952,142.566,"[8.20862, 8.46954, 10.6033, 14.0579, 23.196, 30.2889, 44.1137, 82.3086, 200.0, 200.0, 200.0, 91.0756, 42.1329, 27.5419, 20.5736, 12.0599, 8.962, 7.05606, 6.79258]",-0.0025287404648096368,1.0,0
2.472,-0.0120692,-0.0903637,143.098,"[8.17832, 8.43953, 10.569, 14.0169, 23.1443, 30.2366, 44.0798, 82.4597, 200.0, 200.0, 200.0, 90.8106, 42.1779, 27.6046, 20.6327, 12.1038, 8.99762, 7.08637, 6.82277]",-0.002417083974798312,1.0,0
